"","Year_t","Lambda"
"1",1901,0.921664947023348
"2",1902,0.81790894112702
"3",1903,0.636395947277557
"4",1904,0.857360442199791
"5",1905,0.830211406904306
"6",1906,0.710433907590154
"7",1907,0.403981230404071
"8",1908,0.643061403777797
"9",1909,0.662751512026367
"10",1910,1.04282861682099
"11",1911,0.893983478511288
"12",1912,0.522532878477878
"13",1913,0.661367700110947
"14",1914,0.941015489634608
"15",1915,0.77976480422284
"16",1916,0.442723548046417
"17",1917,0.554115135775633
"18",1918,0.461105506831719
"19",1919,0.906875925999799
"20",1920,0.691725879900218
"21",1921,0.920879985272577
"22",1922,0.90725039763659
"23",1923,0.595374960399579
"24",1924,0.88009244787088
"25",1925,0.904271944978908
"26",1926,0.918444183142895
"27",1927,0.800743631758462
"28",1928,0.523054172314341
"29",1929,0.689548178415325
"30",1930,0.734283722209851
"31",1931,0.794459808064588
"32",1932,0.625137703416276
"33",1933,0.938400183839983
"34",1934,1.29065070437542
"35",1935,0.527532236405654
"36",1936,0.946975884986486
"37",1937,0.956867838129166
"38",1938,0.894031308429519
"39",1939,0.948795025905833
"40",1940,1.23013794895969
"41",1941,0.828203813823348
"42",1942,0.849764127836594
"43",1943,0.969103391721365
"44",1944,0.870157777376913
"45",1945,0.885870618031765
"46",1946,0.90391779890276
"47",1947,0.670656515983454
"48",1948,0.921607014672756
"49",1949,0.906799716205966
"50",1950,0.85836570178646
"51",1951,0.779694481547607
"52",1952,0.951638677646426
"53",1953,0.714547645892675
"54",1954,0.888155301510187
"55",1955,0.838750671118009
"56",1956,0.942660986484926
"57",1957,0.701936050583248
"58",1958,0.965033627995098
"59",1959,0.792092612041831
"60",1960,0.864068618197497
"61",1961,0.822166723434126
"62",1962,0.854851944226309
"63",1963,0.747739724810523
"64",1964,0.841003619263032
"65",1965,0.596326947241969
"66",1966,0.962071744426749
"67",1967,0.497265488748044
"68",1968,0.715954725672168
"69",1969,0.953338071207591
"70",1970,0.859448938164496
"71",1971,0.533249765391609
"72",1972,0.331299130532998
"73",1973,0.908313989240559
"74",1974,0.571830146319274
"75",1975,0.821550006845775
"76",1976,0.852240217767814
"77",1977,0.934716300376923
"78",1978,0.367024773747677
"79",1979,0.471750033400649
"80",1980,0.722570304376177
"81",1981,0.942228002603318
"82",1982,0.571589834070365
"83",1983,0.724315113908013
"84",1984,0.896457873846439
"85",1985,0.885628890469816
"86",1986,0.638642912951258
"87",1987,0.443826603892822
"88",1988,0.735377476603789
"89",1989,0.933793630620015
"90",1990,0.566608834652501
"91",1991,0.842808571382885
"92",1992,0.629146291563406
"93",1993,0.701886912179595
"94",1994,1.55404778654057
"95",1995,0.937501531884289
"96",1996,1.06940721256325
"97",1997,0.970135924524756
"98",1998,0.898628998111812
"99",1999,0.959135255325792
"100",2000,1.04334718459484
"101",2001,0.980080155367861
"102",2002,1.01712172733795
"103",2003,1.10294116949652
"104",2004,0.923741842247145
"105",2005,0.985959808590858
"106",2006,1.01437120924786
"107",2007,0.940261186891323
"108",2008,0.981687679559996
"109",2009,1.00992405137317
"110",2010,0.915554406245153
"111",2011,0.92930176872731
"112",2012,0.990465288360437
"113",2013,0.979297477863324
"114",2014,1.03499872352665
"115",2015,0.997113877052005
"116",2016,0.795640565292694
"117",2017,0.89364544424917
"118",2018,1.40094200634164
"119",2019,0.99235905860955
"120",2020,1.51538428394125
"121",2021,1.60838238504502
"122",2022,1.40511666017621
"123",2023,1.05625048293212
"124",2024,1.50604706122623
"125",2025,0.95267444939667
"126",2026,2.01257530242905
"127",2027,0.995445148299577
"128",2028,1.81943108529676
"129",2029,1.32203389077691
"130",2030,1.21675762245831
"131",2031,1.62472640448606
"132",2032,1.20622781207441
"133",2033,0.857624802696211
"134",2034,2.43822803996525
"135",2035,1.97397537463584
"136",2036,1.83979368412587
"137",2037,1.38831675361336
"138",2038,0.922964958057958
"139",2039,1.11568552674974
"140",2040,1.03286713609087
"141",2041,0.94186782286465
"142",2042,2.23659327862056
"143",2043,1.58614517670883
"144",2044,1.38456122733084
"145",2045,0.984891081695131
"146",2046,1.22522219763316
"147",2047,1.56469535098568
"148",2048,1.61006761620668
"149",2049,2.5870408730434
"150",2050,2.40679846026515
"151",2051,2.61320196467696
"152",2052,3.25220001346903
"153",2053,3.73753995955036
"154",2054,1.63293059465443
"155",2055,0.979127700414002
"156",2056,1.73597716198732
"157",2057,1.82786444039928
"158",2058,1.34216204370674
"159",2059,1.23669724352177
"160",2060,1.85418627827965
"161",2061,6.0496028164814
"162",2062,1.31970593506467
"163",2063,2.26244087307395
"164",2064,1.74340632534178
"165",2065,65.8469744533118
"166",2066,1.90161997708275
"167",2067,1.22984129991233
"168",2068,1.32370406796609
"169",2069,30.3101766064291
"170",2070,6.96447569082138
"171",2071,1.73161413378907
"172",2072,11.8654652669563
"173",2073,4.77441790626274
"174",2074,1.68295795780143
"175",2075,3.16606766989013
"176",2076,3.20319988872517
"177",2077,1.66833045163625
"178",2078,90.6550358993693
"179",2079,6.03163038166869
"180",2080,2.38110792838242
"181",2081,1.28235380031689
"182",2082,1.50929978875894
"183",2083,2.89808227546255
"184",2084,11.060231664907
"185",2085,2.04045378956967
"186",2086,1.07593287391768
"187",2087,2.10170565157451
"188",2088,9.70421989435343
"189",2089,1.71359433006241
"190",2090,0.942114533383621
"191",2091,1.45819237576049
"192",2092,3.70446900990691
"193",2093,21.0239275592472
"194",2094,4.63809979377824
"195",2095,2.38097986740284
"196",2096,1.23068687300799
"197",2097,2.27425242373989
"198",2098,1.78555284877664
"199",2099,59.6941066075331
