Transect,Zone,Block,dist,Input,Seedlings04,Seedlings05
T1,High,HT1B1,,100,1,0
T1,High,HT1B1,,100,0,0
T1,High,HT1B1,,100,1,0
T1,High,HT1B1,ND,250,0,3
T1,High,HT1B1,,250,0,0
T1,High,HT1B1,,250,0,0
T1,High,HT1B2,,100,0,0
T1,High,HT1B2,,100,0,0
T1,High,HT1B2,,100,0,0
T1,High,HT1B2,,250,0,0
T1,High,HT1B2,,250,0,0
T1,High,HT1B2,,250,0,0
T1,High,HT1B3,,100,0,0
T1,High,HT1B3,,100,0,0
T1,High,HT1B3,,100,0,0
T1,High,HT1B3,,250,0,2
T1,High,HT1B3,,250,0,0
T1,High,HT1B3,,250,0,0
T2,High,HT2B1,MD,100,1,0
T2,High,HT2B1,ND,100,0,1
T2,High,HT2B1,,100,0,0
T2,High,HT2B1,MD,250,0,4
T2,High,HT2B1,,250,0,0
T2,High,HT2B1,,250,0,0
T2,High,HT2B2,,100,1,0
T2,High,HT2B2,,100,0,0
T2,High,HT2B2,,100,1,0
T2,High,HT2B2,ND,250,0,2
T2,High,HT2B2,,250,0,0
T2,High,HT2B2,SD,250,6,1
T2,High,HT2B3,MD,100,2,0
T2,High,HT2B3,ND,100,0,1
T2,High,HT2B3,,100,0,0
T2,High,HT2B3,,250,2,0
T2,High,HT2B3,,250,1,0
T2,High,HT2B3,,250,1,0
T3,High,HT3B1,MD,100,2,0
T3,High,HT3B1,ND,100,0,1
T3,High,HT3B1,SD,100,1,6
T3,High,HT3B1,MD,250,3,6
T3,High,HT3B1,ND,250,6,3
T3,High,HT3B1,SD,250,2,14
T3,High,HT3B2,,100,0,0
T3,High,HT3B2,ND,100,3,1
T3,High,HT3B2,,100,2,0
T3,High,HT3B2,,250,0,0
T3,High,HT3B2,ND,250,1,1
T3,High,HT3B2,SD,250,16,1
T3,High,HT3B3,,100,0,0
T3,High,HT3B3,,100,1,0
T3,High,HT3B3,,100,5,0
T3,High,HT3B3,MD,250,1,1
T3,High,HT3B3,ND,250,3,2
T3,High,HT3B3,SD,250,6,1
T4,High,HT4B1,SD,100,0,1
T4,High,HT4B1,,100,0,0
T4,High,HT4B1,,100,0,0
T4,High,HT4B1,,250,0,0
T4,High,HT4B1,ND,250,2,1
T4,High,HT4B1,,250,0,0
T4,High,HT4B2,,100,0,0
T4,High,HT4B2,,100,0,0
T4,High,HT4B2,,100,0,0
T4,High,HT4B2,,250,0,0
T4,High,HT4B2,,250,2,0
T4,High,HT4B2,,250,0,0
T4,High,HT4B3,,100,0,0
T4,High,HT4B3,,100,0,0
T4,High,HT4B3,,100,1,0
T4,High,HT4B3,SD,250,0,1
T4,High,HT4B3,,250,0,0
T4,High,HT4B3,,250,0,0
