plant,treatment,species,fruit_number,poll.access,ant.access,omit.tc.nosp,vacant,weight.in.grams,width (mm),seed_count,blackened?,number.blackened,number.unblackened,seed_mass,abort?,notes
1,PEAA,c,1,n,y,n,n,1.2,17.6,0,n,0,0,0,n,
1,PAAA,c,1,y,y,n,n,2.7,17.41,131,y,7,124,1.07942,n,damage
1,PAAA,c,2,y,y,n,n,3.4,19.77,276,y,96,180,1.44898,n,
1,PEAE,c,1,n,n,n,n,1.1,20.7,0,n,0,0,0,n,
1,PAAE,c,1,y,n,n,n,2.5,21.93,109,y,2,107,1.1,n,
1,PAAE,c,2,y,n,n,n,2.9,21.22,194,n,0,194,1.7,n,
2,PAAA,c,1,y,y,n,n,2,15.68,58,y,9,49,0.51043,n,
2,PAAA,c,2,y,y,n,n,1.9,16.36,68,y,6,62,0.44522,n,
2,PAAA,c,3,y,y,n,n,1.7,16.01,63,y,6,57,0.44977,n,
2,PEAA,c,1,n,y,n,n,1.5,18.03,0,n,0,0,0,n,mold
2,PEAA,c,2,n,y,n,n,1.3,17.25,0,n,0,0,0,n,mold
2,PEAA,c,3,n,y,n,n,0.3,10.2,0,n,0,0,0,y,abort/mold
2,PAAE,c,1,y,n,n,n,2.4,19.53,106,n,0,106,0.92385,n,
2,PAAE,c,2,y,n,n,n,2.6,15.91,131,n,0,131,1.14954,n,
2,PEAE,c,1,n,n,n,n,1.6,18.97,0,n,0,0,0,n,mold
2,PEAE,c,2,n,n,n,n,1.4,20.16,0,n,0,0,0,n,mold
2,PEAE,c,3,n,n,n,n,1.1,15.53,0,n,0,0,0,n,mold
2,PEAE,c,4,n,n,n,n,0.6,9.63,0,n,0,0,0,y,abort/mold
3,PEAA,c,1,n,y,n,n,1.3,15.96,0,n,0,0,0,n,
3,PEAA,c,2,n,y,n,n,1.2,12.24,0,n,0,0,0,n,
3,PEAA,c,3,n,y,n,n,0.8,11.59,0,n,0,0,0,n,
3,PAAA,c,1,y,y,n,n,0.2,7.96,0,n,0,0,0,y,abort
3,PAAA,c,2,y,y,n,n,0.5,11.59,0,n,0,0,0,y,abort
3,PAAA,c,3,y,y,n,n,1.5,17.37,89,y,38,51,0.38453,n,
3,PAAA,c,4,y,y,n,n,1.5,13.95,129,y,28,101,0.4559,n,
3,PEAE,c,1,n,n,n,n,1.1,17.5,0,n,0,0,0,n,mold
3,PEAE,c,2,n,n,n,n,1.5,19.29,0,n,0,0,0,n,mold
3,PAAE,c,1,y,n,n,n,1.5,14.82,92,y,10,82,0.42067,n,
3,PAAE,c,2,y,n,n,n,1,15.32,0,n,0,0,0,n,
4,PEAA,c,1,n,y,n,n,1.3,16.14,0,n,0,0,0,n,
4,PEAA,c,2,n,y,n,n,1.4,17.83,0,n,0,0,0,n,
4,PAAA,c,1,y,y,n,n,2.9,20.17,189,y,46,143,1.2,n,damage
4,PAAA,c,2,y,y,n,n,0.4,10.86,0,n,0,0,0,y,abort
4,PAAE,c,1,y,n,n,n,2.9,19.21,241,y,1,240,1.7,n,
4,PAAE,c,2,y,n,n,n,3.5,18.83,307,n,0,307,2.1,n,
4,PEAE,c,1,n,n,n,n,1.5,19.94,0,n,0,0,0,n,
5,PAAA,c,1,y,y,n,n,2.1,10.98,160,n,0,160,0.94687,n,
5,PEAA,c,1,n,y,n,n,1.1,14.57,35,y,9,24,0.07704,n,some hollow/partially eaten
5,PEAA,c,2,n,y,n,n,0.1,7.68,0,n,0,0,0,y,abort
5,PAAE,c,3,y,n,n,n,4.2,22.6,169,n,0,169,1.9,n,
5,PAAE,c,1,y,n,n,n,4,20.7,241,y,6,235,2.4,n,
5,PAAE,c,2,y,n,n,n,3.8,22.19,209,y,5,204,2.4,n,
5,PEAE,c,1,n,n,n,n,0.8,14.51,0,n,0,0,0,n,
5,PEAE,c,2,n,n,n,n,1.2,18.58,0,n,0,0,0,n,
5,PEAE,c,3,n,n,n,n,1.1,18.25,0,n,0,0,0,n,
5,PEAE,c,4,n,n,n,n,1.2,16.94,0,n,0,0,0,n,
6,PEAE,c,1,n,n,n,n,1.7,21.01,0,n,0,0,0,n,mold
6,PEAE,c,2,n,n,n,n,1.2,18.25,0,n,0,0,0,n,mold
6,PEAE,c,3,n,n,n,n,0.6,12.68,0,n,0,0,0,n,mold
6,tc,c,1,y,y,y,n,2.9,21.31,95,y,77,18,0.72326,n,
