Transect,ZONE,Block,Dist,Seed,seedlings_2004,1yo_2005,plant ID,Log size,survive0405,,
T1,High,HT1B1,SD,100,1,0,1,-4.07773442,0,,
T1,High,HT1B1,MD,100,1,1,1,-4.07773442,0,,
T2,High,HT2B1,MD,100,1,0,1,-4.07773442,0,,
T2,High,HT2B2,MD,100,1,0,1,-4.07773442,0,,
T2,High,HT2B2,SD,100,1,0,1,-4.07773442,0,,
T2,High,HT2B3,SD,250,1,0,1,-4.07773442,0,,
T2,High,HT2B3,ND,250,1,0,1,-4.07773442,0,,
T3,High,HT3B1,SD,100,1,0,1,-4.07773442,0,,
T3,High,HT3B2,ND,250,1,0,1,-4.07773442,0,,
T3,High,HT3B3,ND,100,1,0,1,-4.07773442,0,,
T3,High,HT3B3,MD,250,1,1,1,-4.07773442,1,,
T4,High,HT4B3,SD,100,1,0,1,-4.07773442,0,,
T2,High,HT2B3,MD,100,2,2,1,-4.07773442,1,,
T2,High,HT2B3,MD,100,2,2,2,-4.07773442,1,,
T2,High,HT2B3,MD,250,2,1,1,-4.07773442,1,,
T2,High,HT2B3,MD,250,2,1,2,-4.07773442,0,,
T3,High,HT3B1,SD,250,2,0,1,-4.07773442,0,,
T3,High,HT3B1,SD,250,2,0,2,-4.07773442,0,,
T3,High,HT3B1,MD,100,2,1,1,-4.07773442,1,,
T3,High,HT3B1,MD,100,2,1,2,-4.07773442,0,,
T3,High,HT3B2,SD,100,2,1,1,-4.07773442,1,,
T3,High,HT3B2,SD,100,2,1,2,-4.07773442,0,,
T4,High,HT4B1,ND,250,2,1,1,-4.07773442,1,,
T4,High,HT4B1,ND,250,2,1,2,-4.07773442,0,,
T4,High,HT4B2,ND,250,2,1,1,-4.07773442,1,,
T4,High,HT4B2,ND,250,2,1,2,-4.07773442,0,,
T3,High,HT3B1,MD,250,3,1,1,-4.07773442,1,,
T3,High,HT3B1,MD,250,3,1,2,-4.07773442,0,,
T3,High,HT3B1,MD,250,3,1,3,-4.07773442,0,,
T3,High,HT3B2,ND,100,3,1,1,-4.07773442,1,,
T3,High,HT3B2,ND,100,3,1,2,-4.07773442,0,,
T3,High,HT3B2,ND,100,3,1,3,-4.07773442,0,,
T3,High,HT3B3,ND,250,3,0,1,-4.07773442,0,,
T3,High,HT3B3,ND,250,3,0,2,-4.07773442,0,,
T3,High,HT3B3,ND,250,3,0,3,-4.07773442,0,,
T3,High,HT3B3,SD,100,5,0,1,-4.07773442,0,,
T3,High,HT3B3,SD,100,5,0,2,-4.07773442,0,,
T3,High,HT3B3,SD,100,5,0,3,-4.07773442,0,,
T3,High,HT3B3,SD,100,5,0,4,-4.07773442,0,,
T3,High,HT3B3,SD,100,5,0,5,-4.07773442,0,,
T2,High,HT2B2,SD,250,6,0,1,-4.07773442,0,,
T2,High,HT2B2,SD,250,6,0,2,-4.07773442,0,,
T2,High,HT2B2,SD,250,6,0,3,-4.07773442,0,,
T2,High,HT2B2,SD,250,6,0,4,-4.07773442,0,,
T2,High,HT2B2,SD,250,6,0,5,-4.07773442,0,,
T2,High,HT2B2,SD,250,6,0,6,-4.07773442,0,,
T3,High,HT3B1,ND,250,6,0,1,-4.07773442,0,,
T3,High,HT3B1,ND,250,6,0,2,-4.07773442,0,,
T3,High,HT3B1,ND,250,6,0,3,-4.07773442,0,,
T3,High,HT3B1,ND,250,6,0,4,-4.07773442,0,,
T3,High,HT3B1,ND,250,6,0,5,-4.07773442,0,,
T3,High,HT3B1,ND,250,6,0,6,-4.07773442,0,,
T3,High,HT3B3,SD,250,6,0,1,-4.07773442,0,,
T3,High,HT3B3,SD,250,6,0,2,-4.07773442,0,,
T3,High,HT3B3,SD,250,6,0,3,-4.07773442,0,,
T3,High,HT3B3,SD,250,6,0,4,-4.07773442,0,,
T3,High,HT3B3,SD,250,6,0,5,-4.07773442,0,,
T3,High,HT3B3,SD,250,6,0,6,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,1,-4.07773442,1,,
T3,High,HT3B2,SD,250,16,2,2,-4.07773442,1,,
T3,High,HT3B2,SD,250,16,2,3,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,4,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,5,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,6,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,7,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,8,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,9,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,10,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,11,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,12,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,13,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,14,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,15,-4.07773442,0,,
T3,High,HT3B2,SD,250,16,2,16,-4.07773442,0,,
