"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",12889.092001994,51.9543617740382,12790.976219694,12852.949460778,12888.5018781015,12923.8380676472,12992.1438303216,1.00096055279279,7500
"fert.bclim[1,1]",0.523821555212449,31.4001701847743,-60.3719978700848,-20.7789196055792,0.580861086613804,21.7943964569983,62.3564723748762,1.0008627400027,7500
"fert.bclim[2,1]",-0.443454410770865,31.7980129219521,-62.1862089213878,-21.9819912912375,0.0504254890656817,20.9178746592464,60.8322922010297,1.00109788312486,6700
"fert.bclim[3,1]",0.110226191761698,31.4720356322308,-61.0869940311459,-21.3803226485538,-0.1067499337895,21.3064631884242,61.3666865638831,1.0011535466046,5600
"fert.bclim[1,2]",0.057631347263275,0.107783599268952,-0.146855741461199,-0.0138590969756082,0.0568081558042676,0.126562442275119,0.27253844089326,1.00085661907078,7500
"fert.bclim[2,2]",0.208440714955531,31.6355291350906,-62.5083812210545,-20.9609850204673,-0.166905201709243,21.8961555216969,60.667364880929,1.00093400246317,7500
"fert.bclim[3,2]",0.171545602383071,0.0919896465263205,-0.00539611413963194,0.110038177079057,0.170986377458516,0.234513188129927,0.352594578716744,1.00090988862696,7500
"fert.bclim[1,3]",0.119315865492577,0.081671643534065,-0.0450007331469722,0.0708703911615635,0.119134021174651,0.168569040381913,0.280127279663385,1.00106459390637,7500
"fert.bclim[2,3]",0.216489481939351,31.4664804052393,-61.0038219878605,-20.8850045943703,-0.0423343272495046,21.2371851035029,62.5088065129899,1.00206372165081,1600
"fert.bclim[3,3]",0.171933372683537,31.6944894990239,-63.3082014812272,-20.182480583276,0.00358800779433194,21.2961355248768,62.7260987164015,1.00086889248759,7500
"fert.bsize",2.21749620665775,0.104935066788179,2.01143377746126,2.14730135234775,2.21750544234653,2.28784533647586,2.42286365166952,1.0012037420174,4900
"fert.eps.year[1]",-0.0848764971075108,0.216407320735382,-0.546896879576111,-0.207014408091123,-0.0746138236705726,0.0481607286410515,0.320587432842696,1.00110635278041,6500
"fert.eps.year[2]",0.0676320490428866,0.180046976599017,-0.278012879346404,-0.0493892624070404,0.0668362025130581,0.184409773945504,0.427240174748085,1.00091761590094,7500
"fert.eps.year[3]",-0.0592561589537463,0.191917349524626,-0.457400042794515,-0.170149157102471,-0.0523036515827496,0.0600598321553679,0.305757462390524,1.0014381467226,3100
