"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"deviance",11009.2653612134,51.6941477195847,10909.7708882236,10974.4934644363,11008.5492054972,11043.4138192172,11112.9193670557,1.00122906397772,5000
"fert.bclim[1,1]",0.0025373703310103,0.0528740331148243,-0.0728365148260641,-0.0205937430847551,0.00172107867796909,0.0236669683990372,0.0850483499204719,1.00099940267545,9000
"fert.bclim[2,1]",-0.00241861924438526,0.0215251183023747,-0.0456472104869712,-0.016226351702902,-0.00231102427284586,0.0117838839291605,0.0383981398323841,1.00102281344266,9000
"fert.bclim[3,1]",-0.000271537050652763,0.0532005687029395,-0.0779619543172584,-0.0229685712834696,0.000365884967429774,0.0222174910193565,0.0763055934548152,1.00386759883271,2900
"fert.bclim[4,1]",-0.00927671647717438,0.0174874816056909,-0.043504566085473,-0.0202108335458899,-0.00911269227441505,0.00177810331014823,0.0245059526449491,1.00117619078197,5800
"fert.bclim[1,2]",-0.00322279386938735,0.0547126219834988,-0.0896594526234703,-0.0249663100592887,-0.00160757085597884,0.0207541549975392,0.0705236249119248,1.00139802106706,9000
"fert.bclim[2,2]",0.0194985220994247,0.0311905653776298,-0.0366654858562307,-0.000548586182092093,0.0186200205086524,0.0374528471232697,0.0798005288926693,1.00117612119123,9000
"fert.bclim[3,2]",-0.111649682344031,0.130009998014001,-0.397391607439349,-0.217576243806843,-0.048271364252941,-0.0142727277165875,0.0316737228291505,1.00132933619951,4000
"fert.bclim[4,2]",-0.0137817156296561,0.0327457907340096,-0.0735312862077764,-0.0360092232832106,-0.0158432249376624,0.00713624254305877,0.0528425523225713,1.00085385264581,9000
"fert.bclim[1,3]",-0.00450196936018835,0.0384101452603498,-0.0712088159429047,-0.0241889768941625,-0.00332179398067981,0.0177251928269908,0.057585368712071,1.00092372726863,9000
"fert.bclim[2,3]",-0.0134474624785389,0.0322645462692561,-0.0752944948142482,-0.0327315209572527,-0.0126437724600275,0.00702295782675121,0.0453427996098398,1.00093145921931,9000
"fert.bclim[3,3]",-0.0181056041969506,0.0374247156307007,-0.0987262186720048,-0.0364624252807522,-0.015714108920967,0.00508473349881705,0.0428253358083169,1.00096014516338,9000
"fert.bclim[4,3]",0.0206186483099011,0.0273268334190797,-0.0304265838574993,0.00194842769978128,0.0199818306405607,0.0377783177547297,0.0760433843009613,1.0016381497733,2500
"fert.bsize",2.46494697001242,0.17935899061494,2.11228977986147,2.34812282506113,2.46352277111611,2.58120897810017,2.81363671399156,1.00089629740302,9000
"fert.fit",1342.2326242061,61.7298699623446,1231.17598908194,1300.35264174837,1339.57384850908,1380.50963494178,1468.13148727002,1.00085081235086,9000
"fert.fit.new",1351.64340826582,54.8575583779602,1247.514551965,1313.7046380947,1350.50852891469,1388.18175048899,1462.06499836461,1.0009947829419,9000
"fert.mu",-0.275262820484577,0.236909074950162,-0.741055696213809,-0.428912831541042,-0.279390429282167,-0.12688567452816,0.196198261325625,1.00085803654827,9000
"fert.sigma.overdisp",0.831130855751204,0.0206614292105883,0.792229435169958,0.817172706977145,0.830690777007203,0.845151281100764,0.872316046290818,1.0011545921576,6200
"fert.sigma.plot",0.270958469971933,0.0809639847148445,0.157712555432237,0.214758105092008,0.256615337420823,0.309821231055528,0.471303775166357,1.00097444359921,9000
"fert.sigma.year",0.307722961548596,0.128803473171521,0.100151762502439,0.219701182528703,0.291420157572225,0.375523995022619,0.608700327389838,1.0012561519639,4700
"fert.z[1,1]",0.0583333333333333,0.234385706963645,0,0,0,0,1,1.00093288253782,9000
"fert.z[2,1]",0.0137777777777778,0.116573841651315,0,0,0,0,0,1.01169048810097,3000
"fert.z[3,1]",0.0557777777777778,0.229504836072343,0,0,0,0,1,1.00093629560803,9000
"fert.z[4,1]",0.0143333333333333,0.118867400193488,0,0,0,0,0,1.0010376051542,9000
"fert.z[1,2]",0.0565555555555556,0.231004229200374,0,0,0,0,1,1.0008348975076,9000
"fert.z[2,2]",0.0342222222222222,0.181809610517899,0,0,0,0,1,1.00089969745636,9000
"fert.z[3,2]",0.391444444444444,0.488100566184303,0,0,0,1,1,1.00090645301621,9000
"fert.z[4,2]",0.0295555555555556,0.169367092249731,0,0,0,0,1,1.0022619023712,7100
"fert.z[1,3]",0.0353333333333333,0.184631190538363,0,0,0,0,1,1.0008599313045,9000
"fert.z[2,3]",0.0316666666666667,0.175120805063998,0,0,0,0,1,1.0022663117396,6700
"fert.z[3,3]",0.0466666666666667,0.210935612564763,0,0,0,0,1,1.00101330810632,9000
"fert.z[4,3]",0.0298888888888889,0.170290238401704,0,0,0,0,1,1.0042719104908,3900
"fert.zsize",1,0,1,1,1,1,1,1,1
"flow.bclim[1,1]",0.0304134259362803,0.2551705162925,-0.189603088595252,-0.0203219024383248,0.00351252074995323,0.0292982643404788,0.638021582483553,1.00124661013263,4800
"flow.bclim[2,1]",-0.00677251511690901,0.0556501989150679,-0.0764145988977949,-0.0267484941009279,-0.00541549714356252,0.0152532076684823,0.0584107640434836,1.00248258227709,9000
"flow.bclim[3,1]",-0.00477916275055204,0.0986392929981033,-0.181420895079371,-0.024189767038882,-0.000187123130017683,0.0224735755707203,0.09515821347005,1.00939399367025,410
"flow.bclim[4,1]",0.00200876630843298,0.0285037847679904,-0.0478513312813541,-0.0159297239683821,0.00105265400642295,0.0189124601959083,0.057899883646035,1.00190462621024,4400
"flow.bclim[1,2]",-0.0105893983528233,0.168817091253223,-0.401098856816215,-0.0255386329279966,-0.00148064869632579,0.0224956347690454,0.250053625833117,1.00142628578092,3400
