Plot,TagID,Transplant,Year_t,Height_t,Width_t,Perp_t,NS_t,Goodbuds_t,TotFlowerbuds_t,ABFlowerbuds_t,Antcount_t,Antsp_t,Year_t1,Recruit,Newplant,Survival_t1,Height_t1,Width_t1,Perp_t1,NS_t1,Goodbuds_t1,TotFlowerbuds_t1,ABFlowerbuds_t1,Antcount_t1,Antsp_t1,NP_adult,NP_juv,MA,comments
T1,AD10,0,2004,89,72,72,10,1,1,0,0,,2005,0,0,1,102,63,36,13,3,3,0,0,,,,,
T1,AD11,0,2004,78,42,42,5,1,1,0,3,L,2005,0,0,1,93,34,29,3,3,3,0,27,crem,,,,
T1,AD14,0,2004,99,126,126,14,9,9,0,45,L,2005,0,0,1,100,117,45,12,12,13,1,36,liom,,,,
T1,AD15,0,2004,127,54,54,0,9,9,0,28,L,2005,0,0,1,105,49,27,3,2,2,0,4,liom,,,,
T1,AD16,0,2004,93,115,115,6,10,10,0,19,L,2005,0,0,1,68,115,38,11,4,4,0,17,liom,,,,
T1,AD17,0,2004,79,69,69,12,7,11,4,2,L,2005,0,0,1,95,62,49,11,18,18,0,49,crem,,,,
T1,AD18,0,2004,111,61,61,7,6,6,0,0,,2005,0,0,1,107,53,43,5,11,11,0,18,crem,,,,
T1,AD19,0,2004,94,67,67,3,19,21,2,41,L,2005,0,0,1,98,61,42,3,11,11,0,41,liom,,,,
T1,AD20,0,2004,120,60,60,5,26,27,1,18,L,2005,0,0,1,125,81,34,12,2,7,5,8,liom,,,,
T1,AD21,0,2004,110,100,100,9,3,4,1,0,,2005,0,0,1,117,119,56,19,6,6,0,25,liom,,,,
T1,AD22,0,2004,73,35,35,6,3,3,0,27,L,2005,0,0,1,84,45,34,6,6,6,0,3,liom,,,,
T1,AD23,0,2004,85,82,82,20,14,14,0,8,L,2005,0,0,1,107,93,72,7,31,31,0,29,liom,,,,
T1,AD27,0,2004,120,44,44,10,3,6,3,0,,2005,0,0,1,132,63,52,7,23,25,2,0,,,,,
T1,AD28,0,2004,90,62,62,8,1,1,0,39,L,2005,0,0,1,96,70,43,6,5,5,0,23,crem,,,,
T1,AD29,0,2004,150,130,130,10,22,22,0,47,L,2005,0,0,1,54,141,61,26,26,27,1,8,dropoff,,,,
T1,AD3,0,2004,90,74,74,8,7,7,0,0,,2005,0,0,1,95,59,50,6,9,13,4,33,crem,,,,
T1,AD4,0,2004,99,94,94,6,17,18,1,0,,2005,0,0,1,103,98,29,15,17,18,1,4,drpoff,,,,
T1,AD6,0,2004,92,58,58,7,8,8,0,26,L,2005,0,0,1,78,84,54,16,1,1,0,36,liom,,,,
T1,AD8,0,2004,172,124,124,13,20,20,0,7,L,2005,0,0,1,174,82,79,14,21,21,0,55,liom,,,,
T1,AD9,0,2004,84,88,88,3,12,12,0,0,,2005,0,0,1,87,63,31,8,6,6,0,0,,,,,
T1,LJ11,0,2004,56,25,25,6,0,0,,16,C,2005,0,0,1,58,39,28,4,0,0,,18,crem,,,,
T1,LJ12,0,2004,73,66,66,12,0,0,,13,L,2005,0,0,1,76,72,31,9,0,0,,23,crem,,,,
T1,LJ13,0,2004,64,28,28,7,0,0,,27,C,2005,0,0,1,73,37,22,5,0,0,,0,,,,,
T1,LJ14,0,2004,63,62,62,7,0,0,,0,,2005,0,0,1,66,40,29,7,1,1,0,0,,,,,
T1,LJ15,0,2004,43,20,20,4,0,0,,1,L,2005,0,0,1,46,19,21,5,0,0,,0,,,,,
T1,LJ16,0,2004,57,67,67,9,0,0,,20,L,2005,0,0,1,70,69,52,11,0,0,,41,liom,,,,
T1,LJ17,0,2004,47,29,29,10,0,0,,0,,2005,0,0,1,49,34,28,10,0,0,,12,crem,,,,
T1,LJ3,0,2004,52,35,35,2,0,0,,0,,2005,0,0,1,49,34,24,5,0,0,,2,dropoff,,,,
T1,LJ8,0,2004,45,29,29,6,0,0,,0,,2005,0,0,1,48,45,21,5,0,0,,1,liom,,,,
T1,LJ9,0,2004,63,48,48,6,0,0,,5,L,2005,0,0,1,77,45,39,4,0,0,,26,crem,,,,
T1,SJ11,0,2004,32,15,15,3,0,0,,0,,2005,0,0,1,34,26,23,0,0,0,,0,,,,,
T1,SJ13,0,2004,22,18,18,2,0,0,,0,,2005,0,0,1,33,12,12,3,0,0,,0,,,,,
T1,SJ17,0,2004,20,13,13,1,0,0,,0,,2005,0,0,1,26,11,10,3,0,0,,0,,,,,
T1,SJ2,0,2004,48,32,32,3,0,0,,2,C,2005,0,0,1,51,22,14,2,0,0,,8,crem,,,,
T1,SJ20,0,2004,25,22,22,2,0,0,,0,,2005,0,0,1,21,19,14,0,0,0,,0,,,,,
T1,SJ3,0,2004,38,30,30,6,0,0,,3,C,2005,0,0,1,34,35,27,4,0,0,,2,crem,,,,
T1,SJ4,0,2004,46,42,42,3,0,0,,15,C,2005,0,0,1,61,33,24,7,0,0,,13,crem,,,,
T1,SJ5,0,2004,23,10,10,2,0,0,,0,,2005,0,0,1,30,14,9,3,0,0,,6,crem,,,,
T1,SJ7,0,2004,30,23,23,2,0,0,,3,L,2005,0,0,1,33,24,22,3,0,0,,0,,,,,
T1,SJ9,0,2004,12,7,7,2,0,0,,0,,2005,0,0,1,9,5,4,2,0,0,,0,,,,,
T2,AD1,0,2004,110,90,90,16,25,26,1,6,L,2005,0,0,1,124,88,73,16,20,20,0,38,liom,,,,
T2,AD11,0,2004,76,50,50,7,1,1,0,0,,2005,0,0,1,80,57,41,4,1,1,0,0,,,,,
T2,AD12,0,2004,146,123,123,10,18,18,0,0,,2005,0,0,1,151,119,69,5,15,17,2,27,crem,,,,
T2,AD14,0,2004,97,118,118,24,11,18,7,0,,2005,0,0,1,100,105,53,16,11,23,12,9,liom,,,,
T2,AD15,0,2004,120,87,87,11,16,16,0,0,,2005,0,0,1,137,81,78,8,9,9,0,44,liom,,,,
T2,AD16,0,2004,80,72,72,24,12,12,0,0,,2005,0,0,1,84,77,40,7,2,2,0,5,liom,,,,
T2,AD17,0,2004,92,67,67,14,13,13,0,10,L,2005,0,0,1,94,64,32,8,0,0,,12,liom,,,,
T2,AD18,0,2004,124,61,61,21,19,19,0,0,,2005,0,0,1,128,95,70,21,22,23,1,18,liom,,,,
T2,AD19,0,2004,122,48,48,3,22,26,4,0,,2005,0,0,1,126,47,36,3,5,5,0,12,liom,,,,
T2,AD22,0,2004,82,80,80,4,10,12,2,0,,2005,0,0,1,82,72,65,6,4,4,0,26,liom,,,,
T2,AD23,0,2004,170,122,122,11,28,29,1,11,L,2005,0,0,1,145,137,98,14,9,9,0,16,liom,,,,
T2,AD24,0,2004,140,79,79,7,10,10,0,33,L,2005,0,0,1,153,93,54,11,7,7,0,27,liom,,,,
T2,AD28,0,2004,90,57,57,8,1,1,0,4,C,2005,0,0,1,117,60,53,9,15,17,2,50,crem,,,,
T2,AD29,0,2004,99,77,77,7,11,11,0,0,,2005,0,0,1,95,90,47,12,3,4,1,9,liom,,,,
T2,AD3,0,2004,113,55,55,4,12,12,0,32,L,2005,0,0,1,116,49,42,3,1,1,0,16,liom,,,,
T2,AD30,0,2004,114,70,70,18,10,11,1,0,,2005,0,0,1,124,72,42,8,12,13,1,21,liom,,,,
T2,AD4,0,2004,717,112,112,25,8,18,10,0,,2005,0,0,1,171,99,69,24,16,25,9,23,crem,,,,
T2,AD6,0,2004,66,93,93,10,13,13,0,50,L,2005,0,0,1,78,58,54,12,4,6,2,38,liom,,,,
T2,AD7,0,2004,170,85,85,10,10,11,1,11,L,2005,0,0,1,173,93,55,27,8,11,3,18,liom,,,,
T2,AD9,0,2004,85,64,64,3,13,13,0,0,,2005,0,0,1,86,73,36,5,4,4,0,13,liom,,,,
